mecA	1409	1438	14
mecA	1438	1445	20
mecA	1445	1452	19
mecA	1452	1463	20
mecA	1463	1470	21
mecA	1470	1475	22
mecA	1475	1476	23
mecA	1476	1478	22
mecA	1478	1486	17
mecA	1486	1489	19
mecA	1489	1503	18
mecA	1503	1504	17
mecA	1504	1516	18
mecA	1516	1528	19
mecA	1528	1536	18
mecA	1536	1551	17
mecA	1551	1561	16
mecA	1561	1564	15
mecA	1564	1565	16
mecA	1565	1569	17
mecA	1569	1571	18
mecA	1571	1574	19
mecA	1574	1575	20
mecA	1575	1579	21
mecA	1579	1583	22
mecA	1583	1588	21
mecA	1588	1589	15
mecA	1589	1602	16
mecA	1602	1607	14
mecA	1607	1611	13
mecA	1611	1618	16
mecA	1618	1619	17
mecA	1619	1620	18
mecA	1620	1625	17
mecA	1625	1628	16
mecA	1628	1636	18
mecA	1636	1638	17
mecA	1638	1649	18
mecA	1649	1654	21
mecA	1654	1666	20
mecA	1666	1705	19
mecA	1705	1707	20
mecA	1707	1709	21
mecA	1709	1712	22
mecA	1712	1714	24
mecA	1714	1715	23
mecA	1715	1719	21
mecA	1719	1721	19
mecA	1721	1724	18
mecA	1724	1735	17
mecA	1735	1739	18
mecA	1739	1743	17
mecA	1743	1744	16
mecA	1744	1745	17
mecA	1745	1757	16
mecA	1757	1758	17
mecA	1758	1759	18
mecA	1759	1761	19
mecA	1761	1768	18
mecA	1768	1773	17
mecA	1773	1778	16
mecA	1778	1788	15
mecA	1788	1799	14
mecA	1799	1821	11
mecA	1821	1822	12
mecA	1822	1837	14
mecA	1837	1847	13
mecA	1847	1851	14
mecA	1851	1857	18
mecA	1857	1859	17
mecA	1859	1883	16
mecA	1883	1885	17
mecA	1885	1894	16
mecA	1894	1907	15
mecA	1907	1908	14
mecA	1908	1909	13
mecA	1909	1919	12
mecA	1919	1920	11
mecA	1920	1925	12
mecA	1925	1934	13
mecA	1934	1963	14
mecA	1963	1966	15
mecA	1966	1972	16
mecA	1972	1974	14
mecA	1974	1975	13
mecA	1975	1997	12
mecA	1997	2001	11
mecA	2001	2005	8
mecA	2005	2007	7
